InfForm,Prep
анализировать,с позиции
анализировать,
беседовать,о
бояться,
быть,в
ввести,в
ввести,
вернуть,в
вернуться,в
вернуться,к вопросу о
влиять,на
возвратить,в
возвратиться,в
возвращать,в
возвращаться,в
возвыситься,до
возвышаться,до
войти,в
воспринимать,
восстанавливать,
восстановить,
входить,в
выбраться,из
выйти,из
выйти,замуж в
выкарабкаться,из
выправить,
выправлять,
выпутаться,из
выступать,по вопросу о
выступить,по вопросу о
выходить,из
выяснить,
выяснять,
гордиться,
готовиться,к вопросу о
держать,в
держать,на
дестабилизировать,
добиться,
довести,до
довольствоваться,
докладывать,о
доложить,о
достигать,
достигнуть,
драматизировать,
забывать,о
забыть,о
завидовать,
зависеть,от
завоевать,
завоёвывать,
завуалировать,
закрепить,в
закреплять,в
занимать,
занять,
заснуть,в
застать,в
затруднить,
затруднять,
злоупотребить,
злоупотреблять,
знакомиться,с
знать,о
знать,
игнорировать,
избегать,
избегнуть,
избежать,
извратить,
извращать,
изменить,
изменять,
изучать,
изучить,
иметь,
интересоваться,
информировать,о
использовать,
исправить,
исправлять,
исследовать,
классифицировать,исходя из
классифицироваться,исходя из
компенсироваться,
контролировать,
лежать,в
лишаться,
лишиться,
менять,
мириться,с
назвать,
находиться,в
вязаться,с
догадаться,о
догадываться,о
зазнаваться,из-за
обижаться,ввиду
низвести,до
обдумать,
обдумывать,
обезопасить,
обеспокоиться,
облегчить,
обмануться,по поводу
обострить,
обострять,
обрисовать,
обрисовывать,
обсудить,
обсуждать,
объявить,
объявлять,
ознакомить,с
ознакомиться,с
оказаться,в
оказываться,в
опасаться,
определить,
определять,
осведомить,относительно
осветить,
освещать,
осложнить,
осложнять,
осознавать,
осознать,
оставаться,в
оставить,в
отвечать,за
отметить,
отмечать,
отнестись,к
относиться,к
отражать,
отражаться,на
отразить,
отразиться,на
отреагировать,на
оценивать,
оценить,
очутиться,в
ошибаться,в части
ошибиться,в части
писать,о
повлиять,на
подвергать,
познакомить,с
познакомиться,с
полемизировать,о
полемизировать,
пользоваться,
полюбопытствовать,о
понимать,
понять,
попадать,в
попасть,в
поплатиться,
поправить,
поставить,в
представлять,себе
прекратить,несмотря на
привыкнуть,к
придавать,
придать,
прийти,в
примириться,с
принимать,
принять,
приобрести,
приобретать,
пристроиться,в
проверить,
проверять,
прояснить,
прояснять,
разбираться,в
разделить,
разделять,
различаться,по
разобраться,в
разобраться,с
разрушить,
разузнать,
расшатать,
расшатывать,
рискнуть,
рисковать,
сдвинуть,
сидеть,в
сказаться,на
скомпенсироваться,
создавать,
создать,
сознавать,
сообщать,о
сообщить,о
соответствовать,
сопротивляться,
сохранить,в
сохранить,
сохранять,в
сохранять,
спасать,
спасти,
сплетничать,из-за
стабилизировать,
ставить,в
стать,в
стоять,в
стремиться,к
стыдиться,
судить,о
терпеть,
терять,
торговаться,относительно
торговаться,по поводу
тяготиться,
угрожать,
удивлять,
удивляться,
удостовериться,относительно
удостоверяться,относительно
ужасаться,
ужаснуться,
указать,на
указывать,на
укрепить,
укреплять,
улучшать,
улучшить,
упрочивать,
упрочить,
устыдиться,
усугубить,
усугублять,
уточнить,
уточнять,
ухудшать,
ухудшить,
учесть,
учитывать,
характеризовать,
хвастать,
хвастаться,
шокировать,
являться,
