Verb,Prep
быть,
анализировать,
беспокоить,
есть,
внушать,
восстанавливать,
вызывать,
выправлять,
доминировать,
зависеть,
затруднять,
извращать,
изменять,
изучать,
иллюстрировать,
интересовать,
использовать,
исправлять,
обострять,
обрисовывать,
обязывать,
осложнять,
оставать,
отмечать,
отражать,
оценивать,
позволять,
требовать,
потрясать,
расшатывать,
складывать,
создавать,
сохранять,
стабилизировать,
угрожать,
удовлетворять,
крепить,
укреплять,
улучшать,
упрочивать,
регулировать,
усугублять,
уточнять,
ухудшать,
учитывать,
шокировать,
анализировать,с позиции
беседовать,о
боять,
быть,в
вводить,в
вводить,
возвращать,в
возвращать,к вопросу о
влиять,на
возвышать,до
входить,в
воспринимать,
выбирать,из
выхаживать,из
выхаживать,замуж в
выкарабкивать,из
выпутывать,из
выступать,по вопросу о
выяснять,
гордить,
готовить,к вопросу о
держать,в
держать,на
дестабилизировать,
добивать,
доводить,до
довольствовать,
докладывать,о
достигать,
драматизировать,
забывать,о
завидовать,
зависеть,от
завоевывать,
завоёвывать,
вуалировать,
закреплять,в
занимать,
засыпать,в
заставать,в
злоупотреблять,
знакомить,с
знать,о
знать,
игнорировать,
избегать,
иметь,
информировать,о
исследовать,
классифицировать,исходя из
компенсировать,
контролировать,
лежать,в
лишать,
менять,
мирить,с
называть,
находить,в
вязать,с
догадывать,о
зазнавать,из-за
обижать,ввиду
низводить,до
обдумывать,
обезопашивать,
облегчать,
обманывать,по поводу
обсуждать,
объявлять,
ознакамливать,с
оказывать,в
опасать,
определять,
осведомлять,относительно
освещать,
осознавать,
оставать,в
оставлять,в
отвечать,за
относить,к
отражать,на
реагировать,на
очутить,в
ошибать,в частить
писать,о
подвергать,
полемизировать,о
полемизировать,
пользовать,
любопытствовать,о
понимать,
давать,
попадать,в
поплатить,
поправлять,
поставлять,в
представлять,себе
прекращать,несмотря на
привыкать,к
придавать,
приходить,в
примирять,с
принимать,
приобретать,
пристраивать,в
проверять,
прояснять,
разбирать,в
делить,
разделять,
различать,по
разбирать,с
разрушать,
разузнавать,
рискнуть,
рисковать,
сдвигать,
сидеть,в
говорить,на
сознавать,
сообщать,о
соответствовать,
сопротивлять,
сохранять,в
спасать,
сплетничать,из-за
ставить,в
становиться,в
стоять,в
стремить,к
стыдить,
судить,о
терпеть,
терять,
торговать,относительно
торговать,по поводу
тяготить,
удивлять,
удостоверять,относительно
ужасать,
указывать,на
устыдить,
характеризовать,
хвастать,
являть,
