Verb,Prep
агитировать,против
блюсти,
быть,
быть,в
ввести,
вводить,
властвовать,
водворить,
водворять,
возмущаться,
восстанавливать,
восстанавливаться,
восстановить,
восстановиться,
воцариться,
входить,
входить,в
выбрать,
выполнить,в
выполнять,в
выступить,в
действовать,в
держать,в
добиваться,
добиться,
достигнуть,
есть,
завести,
заводить,
закрепить,
закреплять,
закрепляться,
знакомить,с
знакомиться,с
идти,по
изложить,по
изменить,
измениться,
изменять,
изменяться,
иметь,
инвертировать,
интересоваться,
искажать,
исказить,
касаться,
консультироваться,в вопросе
консультироваться,о
контролировать,
контролироваться,
либерализовать,
любить,
менять,
наблюдать,за
навести,
наводить,
наводиться,
надзирать,за
наладить,
наладиться,
налаживать,
налаживаться,
написать,по
нарушать,
нарушаться,
нарушить,
нарушиться,
находиться,в
обеспечивать,
обеспечиваться,
обеспечить,
обратить,внимание на
обращать,внимание на
обрыднуть,
объяснить,по
объяснять,по
ознакамливать,с
ознакамливаться,с
ознакомить,с
ознакомиться,с
ознакомлять,с
определить,
определиться,
определять,
определяться,
оставить,
оставлять,
отказаться,от
отменить,
отменять,
отменяться,
охранять,
перенумеровать,по
перенумероваться,по
перенумеровывать,по
перенумеровываться,по
перестраивать,
перестроить,
поддержать,
поддерживать,
поддерживаться,
подрывать,
познакомить,с
познакомиться,с
поиграться,с
положить,в
потребовать,
предлагать,
предлагаться,
предложить,
предначертать,
предусматривать,
предусмотреть,
привести,в
приводить,в
привыкать,к
привыкнуть,к
придерживаться,
призвать,к
призывать,к
принимать,
приниматься,
принять,
приучать,к
приучаться,к
приучить,к
приучиться,к
приходить,в
проблематизировать,
проверить,
проверять,
проверяться,
проконсультироваться,в вопросе
проконсультироваться,о
проконтролировать,
пронумеровать,по
проследовать,в
противоречить,
профинансировать,в
радовать,
радоваться,
разработать,
разрушать,
разрушаться,
разрушить,
расположить,в
расположить,по
расположиться,в
расположиться,по
распространить,
распространять,
рассматривать,в
рассмотреть,в
расставить,в
расставлять,в
регламентировать,
регулировать,
следить,за
следовать,в
смотреть,за
смягчать,
смягчить,
смягчиться,
соблюдать,
соблюдаться,
соблюсти,
согласиться,в вопросах относительно
согласиться,с
содержать,в
содержаться,в
соответствовать,
сохранить,в
сохранить,
сохраниться,
сохранять,в
сохранять,
сохраняться,
сохраняться,в
справиться,о
справляться,о
стремиться,к
существовать,
требовать,
требоваться,
тревожиться,по поводу
убраться,для
увеличить,
уволить,в
ужесточать,
ужесточить,
ужесточиться,
узаконить,
упростить,
упрощать,
устанавливать,
устанавливаться,
установить,
утвердить,
уточнить,в
уточнять,в
уточняться,
учесть,
учитывать,
учитываться,
