Verb,Prep
агитировать,против
быть,
быть,в
ввести,
властвовать,
водворить,
возмущаться,
восстановиться,
входить,
входить,в
выбрать,
выполнить,в
выступить,в
действовать,в
держать,в
добиться,
достигнуть,
есть,
завести,
закрепить,
закрепляться,
идти,по
изложить,по
измениться,
иметь,
интересоваться,
исказить,
касаться,
контролироваться,
любить,
менять,
наблюдать,за
навести,
наводиться,
надзирать,за
наладиться,
налаживаться,
написать,по
нарушиться,
обеспечиваться,
обеспечить,
обратить,внимание на
обрыднуть,
объяснить,по
ознакомиться,с
ознакомлять,с
определиться,
оставить,
отказаться,от
отменить,
отменяться,
охранять,
перенумероваться,по
перенумеровываться,по
перестроить,
поддержать,
поддерживаться,
подрывать,
познакомиться,с
положить,в
потребовать,
предлагаться,
предложить,
предусмотреть,
привести,в
привыкнуть,к
придерживаться,
призвать,к
приниматься,
принять,
приучиться,к
приходить,в
проверить,
проверяться,
проконсультироваться,в вопросе
проконсультироваться,о
проконтролировать,
пронумеровать,по
противоречить,
профинансировать,в
радоваться,
разработать,
разрушаться,
разрушить,
расположиться,в
расположиться,по
распространить,
рассмотреть,в
расставить,в
регулировать,
следить,за
следовать,в
смотреть,за
смягчиться,
соблюдаться,
соблюсти,
согласиться,в вопросах относительно
согласиться,с
содержаться,в
соответствовать,
сохранить,в
сохраниться,
сохраняться,в
справиться,о
стремиться,к
существовать,
требоваться,
тревожиться,по поводу
убраться,для
увеличить,
уволить,в
ужесточиться,
узаконить,
упростить,
упрощать,
устанавливаться,
установить,
утвердить,
уточнить,в
уточняться,
учесть,
учитываться,
