Verb,Prep
агитировать,против
быть,
быть,в
ввести,
властвовать,
водворить,
возмущаться,
восстановить,
восстановиться,
входить,
входить,в
выбрать,
выполнить,в
выступить,в
действовать,в
держать,в
добиться,
достигнуть,
есть,
завести,
закрепить,
закрепляться,
идти,по
изложить,по
изменить,
измениться,
иметь,
интересоваться,
исказить,
касаться,
контролироваться,
любить,
менять,
наблюдать,за
навести,
наводиться,
надзирать,за
наладить,
наладиться,
налаживаться,
написать,по
нарушить,
нарушиться,
обеспечиваться,
обеспечить,
обратить,внимание на
обрыднуть,
объяснить,по
ознакомить,с
ознакомиться,с
ознакомлять,с
определить,
определиться,
оставить,
отказаться,от
отменить,
отменяться,
охранять,
перенумеровать,по
перенумероваться,по
перенумеровывать,по
перенумеровываться,по
перестроить,
поддержать,
поддерживаться,
подрывать,
познакомить,с
познакомиться,с
положить,в
потребовать,
предлагаться,
предложить,
предусмотреть,
привести,в
привыкнуть,к
придерживаться,
призвать,к
приниматься,
принять,
приучить,к
приучиться,к
приходить,в
проверить,
проверяться,
проконсультироваться,в вопросе
проконсультироваться,о
проконтролировать,
пронумеровать,по
противоречить,
профинансировать,в
радовать,
радоваться,
разработать,
разрушаться,
разрушить,
расположить,в
расположить,по
расположиться,в
расположиться,по
распространить,
рассмотреть,в
расставить,в
регулировать,
следить,за
следовать,в
смотреть,за
смягчить,
смягчиться,
соблюдать,
соблюдаться,
соблюсти,
согласиться,в вопросах относительно
согласиться,с
содержать,в
содержаться,в
соответствовать,
сохранить,в
сохранить,
сохраниться,
сохраняться,в
справиться,о
стремиться,к
существовать,
требоваться,
тревожиться,по поводу
убраться,для
увеличить,
уволить,в
ужесточить,
ужесточиться,
узаконить,
упростить,
упрощать,
устанавливаться,
установить,
утвердить,
уточнить,в
уточняться,
учесть,
учитываться,
