Verb,Prep
агитировать,против
блюсти,
быть,в
ввести,
вводить,
водворить,
водворять,
возмущаться,
восстанавливать,
восстановить,
входить,в
выбрать,
выполнить,в
выполнять,в
выступить,в
действовать,в
держать,в
добиваться,
добиться,
достигнуть,
завести,
заводить,
закрепить,
закреплять,
знакомить,с
знакомиться,с
идти,по
изложить,по
изменить,
изменять,
иметь,
инвертировать,
интересоваться,
искажать,
исказить,
касаться,
консультироваться,в вопросе
консультироваться,о
контролировать,
либерализовать,
любить,
менять,
наблюдать,за
навести,
наводить,
надзирать,за
наладить,
налаживать,
написать,по
нарушать,
нарушить,
находиться,в
обеспечивать,
обеспечить,
обратить,внимание на
обращать,внимание на
объяснить,по
объяснять,по
ознакамливать,с
ознакамливаться,с
ознакомить,с
ознакомиться,с
ознакомлять,с
определить,
определять,
оставить,
оставлять,
отказаться,от
отменить,
отменять,
охранять,
перенумеровать,по
перенумероваться,по
перенумеровывать,по
перенумеровываться,по
перестраивать,
перестроить,
поддержать,
поддерживать,
подрывать,
познакомить,с
познакомиться,с
поиграться,с
положить,в
потребовать,
предлагать,
предложить,
предначертать,
предусматривать,
предусмотреть,
привести,в
приводить,в
привыкать,к
привыкнуть,к
придерживаться,
призвать,к
призывать,к
принимать,
принять,
приучать,к
приучаться,к
приучить,к
приучиться,к
приходить,в
проблематизировать,
проверить,
проверять,
проконсультироваться,в вопросе
проконсультироваться,о
проконтролировать,
пронумеровать,по
проследовать,в
противоречить,
профинансировать,в
радоваться,
разработать,
разрушать,
разрушить,
расположить,в
расположить,по
расположиться,в
расположиться,по
распространить,
распространять,
рассматривать,в
рассмотреть,в
расставить,в
расставлять,в
регламентировать,
регулировать,
следить,за
следовать,в
смотреть,за
смягчать,
смягчить,
соблюдать,
соблюсти,
согласиться,в вопросах относительно
согласиться,с
содержать,в
содержаться,в
соответствовать,
сохранить,в
сохранить,
сохранять,в
сохранять,
сохраняться,в
справиться,о
справляться,о
стремиться,к
требовать,
тревожиться,по поводу
убраться,для
увеличить,
уволить,в
ужесточать,
ужесточить,
узаконить,
упростить,
упрощать,
устанавливать,
установить,
утвердить,
уточнить,в
уточнять,в
учесть,
учитывать,
