Verb,Prep
быть,
есть,
властвовать,
восстанавливать,
царить,
входить,
закреплять,
изменять,
контролировать,
наводить,
налаживать,
нарушать,
обеспечивать,
обрыдл,
обрыдлевать,
определять,
отменять,
поддерживать,
предлагать,
принимать,
проверять,
радовать,
разрушать,
смягчать,
соблюдать,
соответствовать,
сохранять,
существовать,
требовать,
ужесточать,
устанавливать,
уточнять,
учитывать,
агитировать,против
блюсти,
быть,в
вводить,
водворять,
возмущать,
входить,в
выбирать,
выполнять,в
выступать,в
действовать,в
держать,в
добивать,
достигать,
заводить,
знакомить,с
идти,по
излагать,по
иметь,
инвертировать,
интересовать,
искажать,
касать,
консультировать,в вопросе
консультировать,о
либерализовать,
любить,
менять,
наблюдать,за
надзирать,за
писать,по
находить,в
обращать,внимание на
объяснять,по
ознакамливать,с
ознакомлять,с
оставлять,
отказывать,от
охранять,
нумеровать,по
перенумеровывать,по
перестраивать,
подрывать,
поиграть,с
класть,в
предначертать,
предусматривать,
приводить,в
привыкать,к
придерживать,
призывать,к
приучать,к
приходить,в
проблематизировать,
проследовать,в
противоречить,
финансировать,в
разрабатывать,
располагать,в
располагать,по
распространять,
рассматривать,в
расставлять,в
регламентировать,
регулировать,
следить,за
следовать,в
смотреть,за
соглашать,в вопросах относительно
соглашать,с
содержать,в
сохранять,в
справлять,о
стремить,к
тревожить,по поводу
убирать,для
увеличивать,
увольнять,в
узаконивать,
простить,
упрощать,
утверждать,
уточнять,в
