Verb,Prep
быть,
есть,
давать,
доказывать,
иллюстрировать,
иметь,
отсутствовать,
показывать,
пояснять,
приводить,
свидетельствовать,
существовать,
упоминать,
аргументировать,с помощью
брать,в качестве
брать,в
брать,для
брать,
вдохновлять,
брать,за
видеть,на
видеть,
влиять,
вносить,
воодушевлять,
давать,в качестве
действовать,по
действовать,
делать,
демонстрировать,
думать,над
жечь,
заражать,
идти,за
искать,
находить,
писать,на основе
обсуждать,на
опирать,на
подавать,
подбирать,
подыскивать,
показывать,в качестве
показывать,на
следовать,
служить,
поставлять,в
пояснять,на
представлять,собой
приводить,в качестве
приводить,в
привлекать,в качестве
думать,
придумывать,
проверять,на
проверять,
разыскивать,
рассматривать,
решать,
делать,по
слизнуть,
снабжать,
сопровождать,
ссылать,на
ставить,в
становить,
становиться,
считывать,
убеждать,на
убирать,
увлекать,
учить,на
являть,
