InfForm,Prep
акцентировать,на
акцентировать,
анализировать,
анализироваться,
апеллировать,к
артикулировать,как
артикулироваться,
артикулироваться,как
беспокоить,
биться,над
будировать,
быть,
видеть,
возвратиться,к
возвращаться,к
возникать,
возникнуть,
волновать,
волноваться,из-за
вставать,
встать,
вуалировать,
выговориться,о
выдвигать,
выдвинуть,
выделить,в
вырисовываться,
высказаться,по
выступить,по
готовиться,к
делать,
дискутировать,по
думать,над
думать,о
есть,
завуалировать,
задуматься,над
задуматься,о
заинтересовать,
заинтересоваться,
заключаться,
заметить,в связи с
заниматься,
заняться,
заострить,
застопориться,из-за
затрагивать,
затрагиваться,
затронуть,
затушевать,
знакомиться,с
знать,
излагать,
изложить,
изучать,
изучить,
иметь,
иметься,
интересовать,
интересоваться,
исследовать,
исследоваться,
исследуться,
исчезнуть,
касаться,
концентрировать,на
концентрироваться,на
коснуться,
крыться,
ликвидировать,
нависнуть,
навязать,
навязывать,
назреть,
наметиться,
намечаться,
настрадаться,из-за
недопонимать,
обдумать,
обдумывать,
обнаруживать,
обнаружить,
обозначиться,
обратить,к
обратить,внимание к
обратить,внимание на
обратиться,к
обращать,внимание к
обращать,внимание на
обращаться,к
обсудить,
обсуждать,
обсуждаться,
озаботиться,
ознакомиться,с
оказаться,
оказываться,
осветить,
освещать,
освещаться,
освоить,
оставаться,
останавливаться,на
остановиться,на
остаться,
откреститься,от
открещиваться,от
отнестись,к
относиться,к
охватить,
охватывать,
переключить,на
переключиться,на
перенацеливать,на
перенацеливаться,на
перенацелить,на
перенацелиться,на
поднимать,
поднять,
подумать,относительно
подходить,к
подымать,
познакомиться,с
полемизировать,по
понимать,
понять,
пораздумать,над
порассуждать,относительно
порешать,
породить,
посвятить,
посвящать,
посоветоваться,о
посоветоваться,по поводу
поставить,
появиться,
представлять,
представляться,
преподнести,под ракурсом
преподносить,под ракурсом
приобрести,
приобретать,
притушить,
проанализировать,
пробиться,над
продышать,
проконопатиться,с
проконопачиваться,с
проработать,
работать,над
разбирать,
разбираться,
разобрать,
разобраться,в
разобраться,с
разориться,из-за
разоряться,из-за
разрабатывать,
разработать,
разрешать,
разрешить,
раскрывать,
раскрываться,
раскрыть,
раскусить,
рассматривать,
рассматриваться,
рассмотреть,
рассуждать,относительно
решать,
решаться,
решить,
решиться,
свалить,
связать,с
связать,
связывать,с
связывать,
сконцентрировать,на
сконцентрироваться,на
скоординироваться,по поводу
смикшировать,
снимать,
снять,
советоваться,о
советоваться,по поводу
советоваться,только по поводу
создавать,
создать,
составлять,
состоять,
справиться,с
справляться,с
ставить,
ставиться,
сталкиваться,с
становиться,
стать,
стоить,
столкнуться,с
стоять,
стоять,перед
страдать,из-за
существовать,
сформулировать,
считать,
считаться,
требовать,
трезвонить,о
трепыхаться,по поводу
уделить,внимание
уделять,внимание
упоминаться,
упростить,
упроститься,
упрощать,
упрощаться,
урегулировать,
урегулироваться,
усвоить,
усложняться,
усматриваться,
усмотреться,
устранить,
устранять,
устраняться,
уходить,от
учесть,
фиксировать,
формулировать,
формулироваться,
явиться,
являться,
