InfForm,Prep
акцентировать,на
акцентировать,
анализировать,
апеллировать,к
артикулировать,как
артикулироваться,как
биться,над
будировать,
быть,
возвратиться,к
возвращаться,к
волноваться,из-за
вуалировать,
выговориться,о
выдвигать,
выдвинуть,
выделить,в
высказаться,по
выступить,по
готовиться,к
делать,
дискутировать,по
думать,над
думать,о
завуалировать,
задуматься,над
задуматься,о
заинтересоваться,
заметить,в связи с
заниматься,
заняться,
заострить,
застопориться,из-за
затрагивать,
затронуть,
затушевать,
знакомиться,с
знать,
излагать,
изложить,
изучать,
изучить,
иметь,
интересоваться,
исследовать,
касаться,
концентрировать,на
концентрироваться,на
коснуться,
ликвидировать,
навязать,
навязывать,
настрадаться,из-за
видеть,
обнаруживать,
разрешить,
решать,
составлять,
страдать,из-за
уходить,от
недопонимать,
обдумать,
обдумывать,
обнаружить,
обратить,к
обратить,внимание к
обратить,внимание на
обратиться,к
обращать,внимание к
обращать,внимание на
обращаться,к
обсудить,
обсуждать,
озаботиться,
ознакомиться,с
оказаться,
оказываться,
осветить,
освещать,
освоить,
останавливаться,на
остановиться,на
откреститься,от
открещиваться,от
отнестись,к
относиться,к
охватить,
охватывать,
переключить,на
переключиться,на
перенацеливать,на
перенацеливаться,на
перенацелить,на
перенацелиться,на
поднимать,
поднять,
подумать,относительно
подходить,к
подымать,
познакомиться,с
полемизировать,по
понимать,
понять,
пораздумать,над
порассуждать,относительно
порешать,
породить,
посвятить,
посвящать,
посоветоваться,о
посоветоваться,по поводу
поставить,
представлять,
представляться,
преподнести,под ракурсом
преподносить,под ракурсом
притушить,
проанализировать,
пробиться,над
продышать,
проконопатиться,с
проконопачиваться,с
проработать,
работать,над
разбирать,
разобрать,
разобраться,в
разобраться,с
разориться,из-за
разоряться,из-за
разрабатывать,
разработать,
разрешать,
раскрывать,
раскрыть,
раскусить,
рассматривать,
рассмотреть,
рассуждать,относительно
решить,
свалить,
связать,с
связать,
связывать,с
связывать,
сконцентрировать,на
сконцентрироваться,на
скоординироваться,по поводу
смикшировать,
снимать,
снять,
советоваться,о
советоваться,по поводу
советоваться,только по поводу
создавать,
создать,
справиться,с
справляться,с
ставить,
сталкиваться,с
становиться,
стать,
столкнуться,с
стоять,перед
сформулировать,
считать,
считаться,
трезвонить,о
трепыхаться,по поводу
уделить,внимание
уделять,внимание
упростить,
упрощать,
урегулировать,
усвоить,
устранить,
устранять,
учесть,
фиксировать,
формулировать,
явиться,
являться,
