Verb,Prep
быть,
анализировать,
артикулировать,
беспокоить,
есть,
возникать,
волновать,
вставать,
вырисовывать,
заинтересовывать,
заключать,
затрагивать,
иметь,
интересовать,
исследовать,
исследуть,
исчезать,
касать,
крыть,
нависать,
назревать,
намечать,
значить,
обсуждать,
освещать,
оставать,
появлять,
приобретать,
разбирать,
раскрывать,
рассматривать,
решать,
состоять,
ставить,
стоять,
стоить,
существовать,
требовать,
упоминать,
прощать,
упрощать,
регулировать,
усложнять,
усматривать,
устранять,
формулировать,
акцентировать,на
акцентировать,
апеллировать,к
артикулировать,как
бить,над
будировать,
возвращать,к
волновать,из-за
вуалировать,
выговаривать,о
выдвигать,
выделять,в
высказывать,по
выступать,по
готовить,к
делать,
дискутировать,по
думать,над
думать,о
задумывать,над
задумывать,о
замечать,в связи с
занимать,
заострять,
застопоривать,из-за
затушевывать,
знакомить,с
знать,
излагать,
изучать,
концентрировать,на
ликвидировать,
навязывать,
настрадать,из-за
видеть,
обнаруживать,
разрешать,
составлять,
страдать,из-за
уходить,от
недопонимать,
обдумывать,
обращать,к
обращать,внимание к
обращать,внимание на
заботить,
ознакамливать,с
оказывать,
осваивать,
останавливать,на
открещивать,от
относить,к
охватывать,
переключать,на
перенацеливать,на
поднимать,
думать,относительно
подходить,к
подымать,
полемизировать,по
понимать,
давать,
пораздумать,над
порассуждать,относительно
порешать,
порождать,
посвящать,
советовать,о
советовать,по поводу
поставлять,
представлять,
преподносить,под ракурсом
притушить,
пробивать,над
продышать,
проконопачивать,с
прорабатывать,
работать,над
разбирать,в
разбирать,с
разорять,из-за
разрабатывать,
раскусить,
рассуждать,относительно
валить,
вязать,с
вязать,
связывать,с
связывать,
координировать,по поводу
микшировать,
снимать,
советовать,только по поводу
создавать,
справлять,с
сталкивать,с
становить,
становиться,
стоять,перед
считывать,
трезвонить,о
трепыхать,по поводу
уделять,внимание
простить,
усваивать,
учитывать,
фиксировать,
являть,
