InfForm,Prep
бояться,
быть,
быть,в
быть,вроде бы по
быть,все еще в
быть,давно уже в
быть,еще в
быть,на
быть,по
быть,уже в
ведать,
везти,по
везти,
вести,
вести,по
возвратиться,
возить,по
возить,
восстанавливать,
восстановить,
вставать,на
встать,на
вступать,на
вступить,на
выбирать,
выбрать,
выйти,на
глаголать,о
дать,
двигаться,в
двигаться,по
держать,
есть,
ехать,
ехать,по
желать,
забывать,
забыть,
завершать,
завершаться,
завершить,
завершиться,
загораживать,
загородить,
загромождать,
загромоздить,
задавать,
задать,
задержаться,в
заехать,по
заказывать,
заканчивать,
заканчиваться,
закончить,
закончиться,
замёрзнуть,в
замешкаться,на
занять,
запоздать,в
застать,в
застигнуть,в
застрять,в
затруднить,
знать,
идти,
идти,в
идти,вдоль
идти,по
идти,точно по
избирать,
избрать,
изгибаться,вдоль
изголодаться,в
издержаться,в
изменить,
изменять,
измучить,
изыскать,
изыскивать,
иметься,
имитировать,
искать,
кончать,
лежать,
лечь,на
найти,
накатать,
намёрзнуться,в
наметить,
наметиться,
намечать,
намечаться,
направить,на
направить,
направлять,на
направлять,
находить,
находиться,на протяжении
находиться,в
находиться,все еще в
находиться,еще в
находиться,на
начать,
начертать,
начинать,
начинаться,
нащупать,
нащупывать,
обрекать,
обустраивать,
обустраиваться,
обустроить,
ознакомиться,в
оказаться,в
оказаться,на
опасаться,
определить,
определять,
осваивать,
освещать,
освободить,
освобождать,
освоить,
останавливаться,в
отвлекаться,от
отклониться,от
отклоняться,от
открывать,
открываться,
открыть,
открыться,
отметить,
отмечать,
отправить,в
отправиться,в
отправлять,в
отправляться,в
отрезать,
отремонтировать,
отринуть,
отсутствовать,
отыскать,
перевести,на
перевести,с
переводить,на
переводить,с
перевозить,по
перейти,на
перекрыть,
перерезать,
пересекать,
пересечь,
пересматривать,
пересмотреть,
переходить,на
погибнуть,в
познакомиться,в
пойти,
показать,
показывать,
пользоваться,
попадаться,на
попадаться,по
попадаться,поперек
попадаться,в
попасться,в
попасться,по
поплестись,в
построить,
потерять,
потеряться,
потеряться,в
появиться,
преградить,
преграждать,
предлагать,
предложить,
предопределить,
преодолевать,
преодолеть,
прибыть,на
пробивать,
пробить,
проводить,в
продвигаться,по
продвинуться,по
проделать,
проезжать,по
проехать,
проехать,по
пройти,
прокладывать,
прокладываться,
пролегать,
проложить,
проплывать,
проплыть,
пропустить,на
простудиться,в
проторить,
проторять,
профилировать,
проходить,
пуститься,в
разведать,
развиваться,по
размывать,
размыть,
разойтись,в
разрушать,
разрушить,
располагаться,далеко от
располагаться,крайне далеко от
расстилаться,налево от
расстилаться,направо от
расчистить,
расчиститься,
расчищать,
расчищаться,
реализовать,
реконструировать,
ремонтировать,
сбивать,с
сбиваться,с
сбить,с
сбиться,с
сбредать,с
сбрести,с
свернуть,с
свёртывать,с
сворачивать,с
сделать,в
следовать,
случаться,в
случиться,в
сместить,на
сметать,на
снарядить,в
снарядиться,в
снаряжать,в
снаряжаться,в
собираться,в
собраться,в
советоваться,по поводу
совлечь,с
совратить,с
совратиться,с
совращать,с
совращаться,с
соединить,
соединять,
сократить,
сократиться,
сокращать,
сомневаться,касательно
сомневаться,относительно
спрашивать,
спросить,
спрямить,
спрямлять,
становиться,на
стать,на
стоять,на
строить,
существовать,
терять,
толкать,на
толкнуть,на
трогаться,в
тронуться,в
убирать,с
убрать,с
увеличивать,
увеличиваться,
увеличить,
увеличиться,
удлинить,
удлиниться,
удлинять,
узнавать,
узнать,
указать,
указывать,
уклониться,от
уклоняться,от
укорачивать,
укоротить,
усеивать,
усеять,
уставать,в
устелить,
устилать,
утомить,
