Verb,Prep
бояться,
быть,
быть,в
быть,вроде бы по
быть,все еще в
быть,давно уже в
быть,еще в
быть,на
быть,по
быть,уже в
ведать,
везти,по
везти,
вести,
вести,по
возвратиться,
возить,по
возить,
восстановить,
встать,на
вступить,на
выбрать,
выйти,на
глаголать,о
дать,
двигаться,в
двигаться,по
держать,
есть,
ехать,
ехать,по
желать,
забыть,
завершить,
завершиться,
загородить,
загромоздить,
задать,
задержаться,в
заехать,по
заказывать,
закончить,
закончиться,
замешкаться,на
занять,
запоздать,в
застать,в
застигнуть,в
затруднить,
идти,в
идти,вдоль
идти,по
идти,точно по
избрать,
изгибаться,вдоль
изменить,
измучить,
изыскать,
иметься,
имитировать,
кончать,
лежать,
лечь,на
найти,
накатать,
наметить,
наметиться,
направить,на
направить,
начать,
начинаться,
нащупать,
обрекать,
обустраиваться,
обустроить,
ознакомиться,в
оказаться,в
оказаться,на
опасаться,
определить,
освещать,
освободить,
освоить,
останавливаться,в
отвлекаться,от
отклониться,от
открыть,
открыться,
отметить,
отправить,в
отправиться,в
отрезать,
отремонтировать,
отсутствовать,
отыскать,
перевести,на
перевести,с
перейти,на
перекрыть,
пересечь,
пересмотреть,
погибнуть,в
познакомиться,в
пойти,
показать,
пользоваться,
попадаться,на
попадаться,поперек
попасться,в
попасться,по
поплестись,в
построить,
потерять,
потеряться,
потеряться,в
появиться,
преградить,
предложить,
предопределить,
преодолеть,
прибыть,на
пробить,
проводить,в
продвинуться,по
проделать,
проехать,
проехать,по
пройти,
прокладываться,
пролегать,
проложить,
проплывать,
проплыть,
пропустить,на
простудиться,в
проторить,
профилировать,
пуститься,в
разведать,
развиваться,по
размыть,
разойтись,в
разрушить,
располагаться,далеко от
располагаться,крайне далеко от
расстилаться,налево от
расстилаться,направо от
расчистить,
расчиститься,
реализовать,
сбить,с
сбиться,с
сбрести,с
свернуть,с
свёртывать,с
сворачивать,с
сделать,в
следовать,
случиться,в
сместить,на
снарядить,в
снарядиться,в
собраться,в
советоваться,по поводу
совратить,с
совратиться,с
соединить,
сократить,
сократиться,
сомневаться,касательно
сомневаться,относительно
спросить,
спрямить,
стать,на
стоять,на
существовать,
толкнуть,на
тронуться,в
убрать,с
увеличить,
увеличиться,
удлинить,
удлиниться,
узнавать,
узнать,
указать,
уклониться,от
укоротить,
усеять,
уставать,в
устелить,
утомить,
