InfForm,Prep
бояться,
быть,в
быть,вроде бы по
быть,все еще в
быть,давно уже в
быть,еще в
быть,на
быть,по
быть,уже в
везти,по
везти,
вести,по
вести,
возвратиться,
возить,по
возить,
восстанавливать,
восстановить,
вставать,на
встать,на
вступать,на
вступить,на
выбирать,
выбрать,
выйти,на
глаголать,о
дать,
двигаться,в
двигаться,по
держать,
ехать,
ехать,по
желать,
забывать,
забыть,
завершать,
завершить,
загораживать,
загородить,
загромождать,
загромоздить,
задавать,
задать,
задержаться,в
заехать,по
заказывать,
заканчивать,
закончить,
замёрзнуть,в
замешкаться,на
запоздать,в
застать,в
застигнуть,в
застрять,в
затруднить,
знать,
идти,
идти,в
идти,вдоль
идти,по
идти,точно по
избирать,
избрать,
изгибаться,вдоль
изголодаться,в
издержаться,в
изменить,
изменять,
изыскать,
изыскивать,
имитировать,
искать,
кончать,
лечь,на
найти,
накатать,
намёрзнуться,в
наметить,
намечать,
направить,на
направить,
направлять,на
направлять,
находить,
находиться,на протяжении
находиться,в
находиться,все еще в
находиться,еще в
находиться,на
начать,
начертать,
начинать,
нащупать,
нащупывать,
ведать,
отвлекаться,от
попадаться,на
попадаться,по
попадаться,поперек
советоваться,по поводу
уклониться,от
уклоняться,от
уставать,в
обустраивать,
обустроить,
ознакомиться,в
оказаться,в
оказаться,на
опасаться,
определить,
определять,
осваивать,
освещать,
освободить,
освобождать,
освоить,
останавливаться,в
отклониться,от
отклоняться,от
открывать,
открыть,
отметить,
отмечать,
отправить,в
отправиться,в
отправлять,в
отправляться,в
отрезать,
отремонтировать,
отринуть,
отыскать,
перевести,на
перевести,с
переводить,на
переводить,с
перевозить,по
перейти,на
перекрыть,
перерезать,
пересекать,
пересечь,
пересматривать,
пересмотреть,
переходить,на
погибнуть,в
познакомиться,в
пойти,
показать,
показывать,
пользоваться,
попадаться,в
попасться,в
попасться,по
поплестись,в
построить,
потерять,
потеряться,в
преградить,
преграждать,
предлагать,
предложить,
предопределить,
преодолевать,
преодолеть,
прибыть,на
пробивать,
пробить,
проводить,в
продвигаться,по
продвинуться,по
проделать,
проезжать,по
проехать,
проехать,по
пройти,
прокладывать,
проложить,
проплывать,
проплыть,
пропустить,на
простудиться,в
проторить,
проторять,
профилировать,
проходить,
пуститься,в
разведать,
развиваться,по
размывать,
размыть,
разойтись,в
разрушать,
разрушить,
располагаться,далеко от
располагаться,крайне далеко от
расстилаться,налево от
расстилаться,направо от
расчистить,
расчищать,
реализовать,
реконструировать,
ремонтировать,
сбивать,с
сбиваться,с
сбить,с
сбиться,с
сбредать,с
сбрести,с
свернуть,с
свёртывать,с
сворачивать,с
сделать,в
следовать,
случаться,в
случиться,в
сместить,на
сметать,на
снарядить,в
снарядиться,в
снаряжать,в
снаряжаться,в
собираться,в
собраться,в
совлечь,с
совратить,с
совратиться,с
совращать,с
совращаться,с
сократить,
сокращать,
сомневаться,касательно
сомневаться,относительно
спрашивать,
спросить,
спрямить,
спрямлять,
становиться,на
стать,на
стоять,на
строить,
терять,
толкать,на
толкнуть,на
трогаться,в
тронуться,в
убирать,с
убрать,с
увеличивать,
увеличить,
удлинить,
удлинять,
узнавать,
узнать,
указать,
указывать,
укорачивать,
укоротить,
усеивать,
усеять,
устелить,
устилать,
