Verb,Prep
быть,
есть,
вести,
завершать,
заканчивать,
занимать,
идти,
измучивать,
иметь,
лежать,
намечать,
начинать,
обрекать,
обустраивать,
открывать,
отсутствовать,
терять,
появлять,
прокладывать,
пролегать,
проходить,
расчищать,
соединять,
сокращать,
существовать,
увеличивать,
удлинять,
томить,
боять,
быть,в
быть,вроде бы по
быть,все еще в
быть,давно уже в
быть,еще в
быть,на
быть,по
быть,уже в
везти,по
везти,
вести,по
возвращать,
возить,по
возить,
восстанавливать,
вставать,на
вступать,на
выбирать,
выхаживать,на
глаголать,о
давать,
двигать,в
двигать,по
держать,
ехать,
ехать,по
желать,
забывать,
загораживать,
загромождать,
задавать,
задерживать,в
заезжать,по
заказывать,
замёрзнуть,в
замешкивать,на
запаздывать,в
заставать,в
застигать,в
застрять,в
затруднять,
знать,
идти,в
идти,вдоль
идти,по
идти,точно по
избирать,
изгибать,вдоль
изголодать,в
издержать,в
изменять,
изыскивать,
имитировать,
искать,
кончать,
ложиться,на
находить,
накатывать,
намёрзнуть,в
направлять,на
направлять,
находить,на протяжении
находить,в
находить,все еще в
находить,еще в
находить,на
начертать,
нащупывать,
ведать,
отвлекать,от
попадать,на
попадать,по
попадать,поперек
советовать,по поводу
уклонять,от
уставать,в
ознакамливать,в
оказывать,в
оказывать,на
опасать,
определять,
осваивать,
освещать,
освобождать,
останавливать,в
отклонять,от
отмечать,
отправлять,в
резать,
ремонтировать,
отринуть,
переводить,на
переводить,с
перевозить,по
переходить,на
перекрывать,
перерезать,
пересекать,
пересматривать,
гибнуть,в
знакомить,в
показывать,
пользовать,
попадать,в
плести,в
строить,
терять,в
преграждать,
предлагать,
предопределять,
преодолевать,
прибывать,на
пробивать,
провожать,в
продвигать,по
проделывать,
проезжать,по
проезжать,
проплывать,
плыть,
пропускать,на
простужать,в
проторять,
профилировать,
пускать,в
разведывать,
развивать,по
размывать,
расходить,в
разрушать,
располагать,далеко от
располагать,крайне далеко от
расстилать,налево от
расстилать,направо от
реализовывать,
реконструировать,
сбивать,с
сбредать,с
свертывать,с
свёртывать,с
сворачивать,с
делать,в
следовать,
случать,в
смещать,на
сметать,на
снаряжать,в
собирать,в
совлечь,с
совращать,с
сомневать,касательно
сомневать,относительно
спрашивать,
спрямлять,
становить,на
становиться,на
стоять,на
толкать,на
трогать,в
убирать,с
узнавать,
указывать,
укорачивать,
усеивать,
устилать,
