Verb,Prep
быть,
быть,за
видеть,
возникнуть,
восстановить,
вскрыть,
высказываться,за
выявить,
выявляться,
выяснить,
выясняться,
доказать,
есть,
завязать,
замечать,
иметься,
искаться,
классифицироваться,с точки зрения
наводить,
найти,
нарушить,
обвинять,в
обнаруживаться,
обнаружить,
обуславливать,
обусловливать,
определить,
определяться,
осветить,
ослабить,
ослабляться,
оставить,
остаться,
отслеживаться,
оцениваться,
поддерживать,
подозревать,в
показать,
поставить,в
поучать,о
предполагаться,
прекратить,
прослеживать,
проявляться,
разрушить,
разрывать,
раскрываться,
раскрыть,
распасться,
рваться,
следить,за
следить,
сохранять,
ставить,в
существовать,
терять,
увеличиться,
указать,на
укрепить,
укрепляться,
усиливаться,
установить,
утратить,
чувствовать,
