Verb,Prep
быть,
быть,за
видеть,
возникнуть,
восстановить,
вскрыть,
высказываться,за
выявить,
выявляться,
выяснить,
выясняться,
доказать,
есть,
завязать,
замечать,
иметь,
иметься,
искать,
искаться,
классифицироваться,с точки зрения
наводить,
найти,
нарушить,
обвинять,в
обнаруживаться,
обнаружить,
обуславливать,
обусловливать,
определить,
определяться,
осветить,
ослабить,
ослабляться,
оставить,
остаться,
отслеживать,
отслеживаться,
оцениваться,
поддерживать,
подозревать,в
показать,
поставить,в
поучать,о
предполагать,
предполагаться,
прекратить,
прослеживать,
проявляться,
разрушить,
разрывать,
раскрываться,
раскрыть,
распасться,
рваться,
следить,за
следить,
сохранять,
ставить,в
существовать,
терять,
увеличиться,
указать,на
укрепить,
укреплять,
укрепляться,
усиливаться,
установить,
утратить,
чувствовать,
