Verb,Prep
быть,
есть,
возникать,
выявлять,
выяснять,
иметь,
искать,
обнаруживать,
обуславливать,
обусловливать,
определять,
ослаблять,
оставать,
отслеживать,
оценивать,
предполагать,
проявлять,
раскрывать,
распадать,
рвать,
существовать,
увеличивать,
укреплять,
усиливать,
быть,за
видеть,
восстанавливать,
вскрывать,
высказывать,за
доказывать,
завязывать,
замечать,
исследовать,
классифицировать,с точки зрения
крепить,
наводить,
находить,
нарушать,
находить,в
обвинять,в
освещать,
оставлять,
поддерживать,
подозревать,в
показывать,
поставлять,в
поучать,о
прекращать,
проблематизировать,
прослеживать,
разрушать,
разрывать,
следить,за
следить,
сохранять,
ставить,в
терять,
указывать,на
устанавливать,
утрачивать,
чувствовать,
