Verb,Prep
быть,
быть,в
ввести,в
вводить,в
вдохнуть,
верить,в
взяться,
видеть,
влечь,
возыметь,
войти,в
вступать,в
вступить,в
входить,в
действовать,
демонстрировать,
догадаться,по
догадываться,по
есть,
зависеть,от
заключаться,
зиждиться,
знать,
иметь,
иметься,
испытывать,
капитулировать,перед
классифицировать,с точки зрения
классифицироваться,с точки зрения
крыться,
любить,
набираться,
набрать,
наделиться,
наделяться,
надеяться,на
наращивать,
наращиваться,
обладать,
организоваться,в
оставаться,в
оставить,в
оставлять,в
ощутить,
ощущать,
подавить,
поддержать,
подтвердить,
подтверждать,
показать,
покоряться,
получить,
понять,
потерять,
похитить,
почувствовать,
превзойти,в
превзойти,по
превзойти,
превосходить,в
превосходить,по
превосходить,
превратиться,в
превращаться,в
представлять,
предстать,в виде
предстать,в качестве
преисполниться,
преисполняться,
преумножить,
придавать,
придать,
признавать,
признать,
приобрести,
приобретать,
приумножить,
продемонстрировать,
противиться,
противоборствовать,
противопоставить,
противопоставиться,
противопоставлять,
противопоставляться,
противостоять,
проявить,
проявиться,с
проявлять,
проявляться,
проявляться,с
рассчитывать,на
состоять,
сохранить,
сохранять,
сохраняться,
судить,по
существовать,
терять,
теряться,
толкнуть,
трепетать,перед
убедиться,в
удивляться,
утратить,
утрачивать,
чувствовать,
являться,
