Verb,Prep
быть,
быть,в
ввести,в
вдохнуть,
верить,в
взяться,
видеть,
влечь,
войти,в
вступить,в
действовать,
догадаться,по
есть,
зависеть,от
заключаться,
зиждиться,
знать,
иметь,
иметься,
испытывать,
классифицироваться,с точки зрения
крыться,
любить,
набираться,
набрать,
наделиться,
надеяться,на
наращивать,
наращиваться,
обладать,
организоваться,в
оставаться,в
оставить,в
ощутить,
подавить,
поддержать,
подтвердить,
показать,
покоряться,
получить,
понять,
потерять,
похитить,
почувствовать,
превзойти,в
превзойти,по
превзойти,
превратиться,в
представлять,
предстать,в виде
предстать,в качестве
преисполниться,
придать,
признать,
приобрести,
приумножить,
продемонстрировать,
противиться,
противоборствовать,
противопоставить,
противопоставиться,
противостоять,
проявить,
проявиться,с
проявляться,
рассчитывать,на
состоять,
сохранить,
сохраняться,
судить,по
существовать,
теряться,
толкнуть,
трепетать,перед
убедиться,в
удивляться,
утратить,
являться,
