Verb,Prep
быть,в
быть,
ввести,в
вводить,в
вдохнуть,
верить,в
видеть,
возыметь,
войти,в
вступать,в
вступить,в
входить,в
демонстрировать,
догадаться,по
догадываться,по
зависеть,от
знать,
иметь,
испытывать,
капитулировать,перед
классифицировать,с точки зрения
классифицироваться,с точки зрения
любить,
набрать,
наделиться,
наделяться,
надеяться,на
наращивать,
обладать,
организоваться,в
оставаться,в
оставить,в
оставлять,в
ощутить,
ощущать,
подавить,
поддержать,
подтвердить,
подтверждать,
показать,
покоряться,
получить,
понять,
потерять,
похитить,
почувствовать,
превзойти,в
превзойти,по
превзойти,
превосходить,в
превосходить,по
превосходить,
превратиться,в
превращаться,в
представлять,
предстать,в виде
предстать,в качестве
преисполниться,
преисполняться,
преумножить,
придавать,
придать,
признавать,
признать,
приобрести,
приобретать,
приумножить,
продемонстрировать,
противиться,
противоборствовать,
противопоставить,
противопоставиться,
противопоставлять,
противопоставляться,
противостоять,
проявить,
проявиться,с
проявлять,
проявляться,с
рассчитывать,на
сохранить,
сохранять,
судить,по
терять,
трепетать,перед
убедиться,в
удивляться,
утратить,
утрачивать,
чувствовать,
являться,
