Verb,Prep
быть,
есть,
брать,
влечь,
действовать,
заключать,
зиждить,
иметь,
крыть,
набирать,
наращивать,
проявлять,
состоять,
сохранять,
существовать,
терять,
толкать,
быть,в
вводить,в
вдыхать,
верить,в
видеть,
возыметь,
входить,в
вступать,в
демонстрировать,
догадывать,по
зависеть,от
знать,
испытывать,
капитулировать,перед
классифицировать,с точки зрения
любить,
наделять,
надеять,на
обладать,
организовывать,в
оставать,в
оставлять,в
ощущать,
подавать,
поддерживать,
подтверждать,
показывать,
покорять,
получать,
давать,
похищать,
чувствовать,
превосходить,в
превосходить,по
превосходить,
превращать,в
представлять,
представать,в виде
представать,в качестве
преисполнять,
преумножить,
придавать,
признавать,
приобретать,
приумножать,
противить,
противоборствовать,
противопоставлять,
противостоять,
проявлять,с
рассчитывать,на
судить,по
трепетать,перед
убеждать,в
удивлять,
утрачивать,
являть,
