Verb,Prep
быть,
быть,на
вести,себя на
вестись,
вместиться,в рамки
воспринимать,в качестве
воспринимать,как
выбежать,с
выгнать,с
вызвать,с
вызубрить,
выполнить,
выучить,
говорить,на
готовиться,
даваться,
дать,
долбить,
задать,
закончить,
заснуть,во время
заснуть,на
заснуть,прямо во время
знать,
идти,
идти,с
извлечь,
изучать,на
конспектировать,по ходу
кончиться,
мчаться,на
мчаться,с
наступить,
начаться,
недоучить,
нестись,на
нестись,с
обсудить,
объяснить,
опоздать,на
освоить,
ответить,на
ответить,
отвлекаться,на
отпустить,с
отсутствовать,на
перенести,
повторить,к
повторить,
подготовить,
подучить,
пойти,на
получить,
пользоваться,на
понимать,
понять,
посетить,
послужить,
преподнести,
преподноситься,
прервать,
приготовить,
приготовиться,к
прийти,на
принести,на
принести,с
присутствовать,на
провести,
проводиться,
прогулять,
продолжаться,
продолжить,
пройти,
пройти,на
пропустить,
проработать,на
разобрать,на
решить,на
садаптировать,
сидеть,на
смыться,с
созорничать,на
сообщить,перед
сообщить,после
сорвать,
спросить,
торопиться,к
торопиться,на
убежать,с
удалить,с
уйти,на
уйти,с
усваивать,на
усвоить,
успеть,на
учить,
шуметь,на
явиться,на
