InfForm,Prep
адаптировать,
бежать,на
быть,на
быть,
вести,
вести,себя на
вместиться,в рамки
вмещаться,в рамки
воспринимать,в качестве
воспринимать,как
выбегать,с
выбежать,с
выгнать,с
выгонять,с
вызвать,с
вызубрить,
выпереть,с
выполнить,
выполнять,
выучивать,
выучить,
говорить,на
готовить,
давать,
дать,
долбить,
задавать,
задать,
задолбить,
зазубрить,
закончить,
закричать,во время
закричать,прямо во время
заорать,на
заснуть,во время
заснуть,на
заснуть,прямо во время
знать,
зубрить,
идти,на
идти,с
извлекать,
извлечь,
изучать,на
использовать,в ходе
использовать,на
конспектировать,по ходу
кончить,
мчаться,на
мчаться,с
наозорничать,на
начать,
начинать,
опаздывать,на
отвлекаться,на
недоучивать,
недоучить,
нестись,на
нестись,с
обсудить,
объяснить,
объяснять,
озорничать,на
опоздать,на
осваивать,
освоить,
ответить,на
ответить,
отвечать,на
отвечать,
отпускать,с
отпустить,с
отсутствовать,на
перенести,
переносить,
повторить,к
повторить,
повторять,к
повторять,
подготовить,
подучить,
пойти,на
получать,
получить,
пользоваться,на
понимать,
понять,
посетить,
послужить,
преподать,
преподнести,
преподносить,
прервать,
прерывать,
приготовить,к
приготовить,
приготовиться,к
прийти,на
принести,на
принести,с
присутствовать,на
провести,
проводить,
прогулять,
продолжать,
продолжить,
пройти,на
пропускать,
пропустить,
проработать,на
проходить,на
разбирать,на
разобрать,на
решать,на
решить,на
садаптировать,
сидеть,на
служить,
смываться,с
смыться,с
созорничать,на
сообщить,перед
сообщить,после
сорвать,
спешить,на
спросить,
срывать,
торопиться,к
торопиться,на
убежать,с
удалить,с
удалять,с
уйти,на
уйти,с
улизнуть,с
усваивать,на
усваивать,
усвоить,
успеть,на
учить,
шуметь,на
явиться,на
являться,на
