Verb,Prep
вести,
быть,
готовить,
давать,
идти,
кончать,
наступать,
начинать,
переносить,
преподносить,
провожать,
продолжать,
проходить,
адаптировать,
бежать,на
быть,на
вести,себя на
вмещать,в рамки
воспринимать,в качестве
воспринимать,как
выбегать,с
выгонять,с
вызывать,с
зубрить,
выпереть,с
выполнять,
выучивать,
говорить,на
долбить,
задавать,
задолбить,
зазубрить,
заканчивать,
закричать,во время
закричать,прямо во время
заорать,на
засыпать,во время
засыпать,на
засыпать,прямо во время
знать,
идти,на
идти,с
извлекать,
изучать,на
использовать,в ходе
использовать,на
конспектировать,по ходу
мчать,на
мчать,с
наозорничать,на
опаздывать,на
отвлекать,на
недоучивать,
нести,на
нести,с
обсуждать,
объяснять,
озорничать,на
осваивать,
отвечать,на
отвечать,
отпускать,с
отсутствовать,на
повторять,к
повторять,
подучивать,
получать,
пользовать,на
понимать,
посещать,
служить,
преподать,
прерывать,
готовить,к
приходить,на
присутствовать,на
прогуливать,
проходить,на
пропускать,
прорабатывать,на
разбирать,на
решать,на
сидеть,на
смывать,с
сообщать,перед
сообщать,после
срывать,
спешить,на
спрашивать,
торопить,к
торопить,на
убегать,с
удалять,с
уходить,на
уходить,с
улизнуть,с
усваивать,на
усваивать,
успевать,на
учить,
шуметь,на
являть,на
