Verb,Prep
апеллировать,к
бежать,от
безумствовать,из-за
беспокоить,
блеснуть,
бодрить,
бороться,с
будить,
быть,
веселить,
взывать,к
внушать,
внушаться,
внушить,
возбудить,
возбуждать,
возбуждаться,
возненавидеть,из-за
возникать,
возникнуть,
воспитать,
воспитывать,
воспитываться,
впасть,в
вселить,
вселять,
вспоминать,с
вторгаться,
выдать,
вызвать,
вызывать,
вызываться,
вылить,
выражать,
выражаться,
выразить,
вытравить,
вытравлять,
глодать,
гнездиться,
говорить,
господствовать,
греть,
грызть,
двигать,
делать,с
есть,
забывать,о
забыть,о
забыть,
зависеть,от
заглушать,
заглушить,
зажечь,
зародиться,
заставлять,
затрагивать,
затрагиваться,
затронуть,
захватить,
захихикать,от
захлестнуть,
зреть,
избавиться,от
избавляться,от
излить,
изменять,
иметь,
иметься,
испариться,
испаряться,
испытать,
испытывать,
испытываться,
исчезать,
исчезнуть,
компенсировать,
компенсироваться,
крепнуть,
крыться,
ласкать,
лишить,
лишиться,
мучаться,
мучиться,
наделить,
наделять,
надругаться,над
накатить,
наполнять,
напрячься,от
насладиться,
наслаждаться,
насмеяться,над
обладать,
обманывать,
обнаруживать,
обнаружить,
обострить,
обостриться,
обострять,
обратить,
овладеть,
освободиться,от
освобождаться,от
оскорбить,
оскорблять,
ослабнуть,
основать,на
основывать,на
оставлять,
остаться,
ответить,на
отвечать,на
отдаваться,
отдаться,
отличаться,
отнестись,с
отнестись,к
относиться,с
относиться,к
отринуть,
отсутствовать,
охватить,
охватывать,
перебороть,
перевесить,
переполнить,
переполниться,
переполнять,
перетерпеть,
питать,
пить,из-за
побороть,
погаснуть,
подавить,
подавлять,
поддаваться,
поддаться,
поделиться,
подсказывать,
подчиняться,из
подчиняться,из-за
подчиняться,через
позволять,
покидать,
полагаться,на
помнить,
понимать,
понять,
посетить,
поступать,из
поступить,из
потерять,
появиться,
появляться,
предаваться,
предаться,
преисполниться,
преисполняться,
преследовать,
преувеличивать,
привести,в
прививать,
привить,
приводить,в
прийти,в
примешаться,
примешиваться,
примешиваться,к
присоединиться,к
притупить,
притупиться,
притуплять,
притупляться,
приходить,в
пробудить,
пробудиться,
пробуждать,
пробуждаться,
продвигаться,ради
продвинуться,ради
продуцировать,
проникаться,
проникнуться,
пропасть,
проснуться,
проявить,
проявлять,
проявляться,
прятать,
пугаться,
разбудить,
развивать,
развиваться,
развить,
разгораться,от
разгореться,от
разделить,
разделять,
разделяться,
рассиропиться,от
расстрелять,из
рассчитывать,на
расти,
растоптать,
руководствоваться,
связывать,с
сделать,из
сделать,с
сказать,с
скрывать,
скрыть,
смеяться,над
совершаться,
совершиться,
созреть,
сохранить,
сохраниться,
сохранять,
сохраняться,
справиться,с
стряхивать,
стряхнуть,
таить,
таиться,
терять,
теряться,
трансформироваться,в
требовать,
убивать,
убить,
увеличиваться,
увеличиться,
угаснуть,
угнездиться,
угнетать,
удовлетворяться,с помощью
усиливать,
усиливаться,
усилить,
усилиться,
уступать,
уступить,
утратить,
утрачивать,
утрачиваться,
характеризоваться,
читать,без
шутить,над
