Verb,Prep
безумствовать,из-за
беспокоить,
блеснуть,
бодрить,
бороться,с
быть,
веселить,
взывать,к
внушаться,
внушить,
возбудить,
возбуждаться,
возненавидеть,из-за
возникнуть,
воспитать,
воспитываться,
впасть,в
вселить,
вспоминать,с
вторгаться,
выдать,
вызвать,
вызываться,
вылить,
выражаться,
выразить,
вытравлять,
глодать,
говорить,
господствовать,
греть,
грызть,
двигать,
есть,
забыть,о
забыть,
зависеть,от
заглушать,
заглушить,
зажечь,
зародиться,
заставлять,
затрагиваться,
затронуть,
захватить,
захлестнуть,
избавиться,от
излить,
изменять,
иметь,
иметься,
испариться,
испытать,
испытываться,
исчезнуть,
компенсироваться,
крепнуть,
крыться,
ласкать,
лишить,
лишиться,
мучиться,
наделить,
накатить,
наполнять,
напрячься,от
насладиться,
обладать,
обманывать,
обнаружить,
обострить,
обостриться,
обратить,
овладеть,
освободиться,от
оскорбить,
ослабнуть,
основать,на
оставлять,
остаться,
ответить,на
отдаться,
отличаться,
отнестись,с
отнестись,к
отсутствовать,
охватить,
перебороть,
перевесить,
переполнить,
переполниться,
питать,
пить,из-за
погаснуть,
подавить,
подавлять,
поддаться,
поделиться,
подсказывать,
подчиняться,из
подчиняться,из-за
подчиняться,через
позволять,
полагаться,на
помнить,
понимать,
понять,
посетить,
поступить,из
потерять,
появиться,
предаться,
преисполниться,
преследовать,
преувеличивать,
привести,в
привить,
прийти,в
примешаться,
примешиваться,к
присоединиться,к
притупить,
притупиться,
пробудить,
пробудиться,
продвинуться,ради
проникнуться,
пропасть,
проснуться,
проявить,
проявляться,
прятать,
пугаться,
разбудить,
развиваться,
развить,
разгореться,от
разделить,
разделять,
разделяться,
рассиропиться,от
расстрелять,из
рассчитывать,на
расти,
руководствоваться,
связывать,с
сделать,из
сделать,с
сказать,с
скрыть,
смеяться,над
совершиться,
созреть,
сохранить,
сохраниться,
справиться,с
стряхнуть,
таить,
таиться,
теряться,
требовать,
убить,
увеличиться,
угаснуть,
угнездиться,
угнетать,
удовлетворяться,с помощью
усилить,
усилиться,
уступить,
утратить,
утрачиваться,
характеризоваться,
читать,без
шутить,над
