Verb,Prep
апеллировать,к
бежать,от
безумствовать,из-за
бороться,с
будить,
взывать,к
внушать,
внушить,
возбудить,
возбуждать,
возненавидеть,из-за
воспитать,
воспитывать,
впасть,в
вселить,
вселять,
вспоминать,с
выдать,
вызвать,
вызывать,
вылить,
выражать,
выразить,
вытравить,
вытравлять,
делать,с
забывать,о
забыть,о
забыть,
зависеть,от
заглушать,
заглушить,
зажечь,
затрагивать,
затронуть,
захихикать,от
избавиться,от
избавляться,от
излить,
иметь,
испытать,
испытывать,
компенсировать,
ласкать,
лишить,
лишиться,
мучаться,
мучиться,
наделить,
наделять,
надругаться,над
напрячься,от
насладиться,
наслаждаться,
насмеяться,над
обнаруживать,
пить,из-за
подчиняться,из
подчиняться,из-за
обладать,
обнаружить,
обострить,
обострять,
обратить,
освободиться,от
освобождаться,от
оскорбить,
оскорблять,
основать,на
основывать,на
ответить,на
отвечать,на
отдаваться,
отдаться,
отличаться,
отнестись,с
отнестись,к
относиться,с
относиться,к
отринуть,
охватывать,
перебороть,
переполнить,
переполниться,
переполнять,
перетерпеть,
питать,
побороть,
подавить,
подавлять,
поддаваться,
поддаться,
поделиться,
подчиняться,через
полагаться,на
помнить,
понимать,
понять,
поступать,из
поступить,из
потерять,
предаваться,
предаться,
преисполниться,
преисполняться,
преувеличивать,
привести,в
прививать,
привить,
приводить,в
прийти,в
примешиваться,к
присоединиться,к
притупить,
притуплять,
приходить,в
пробудить,
пробуждать,
продвигаться,ради
продвинуться,ради
продуцировать,
проникаться,
проникнуться,
проявить,
проявлять,
прятать,
пугаться,
разбудить,
развивать,
развить,
разгораться,от
разгореться,от
разделить,
разделять,
рассиропиться,от
расстрелять,из
рассчитывать,на
растоптать,
руководствоваться,
связывать,с
сделать,из
сделать,с
сказать,с
скрывать,
скрыть,
смеяться,над
сохранить,
сохранять,
справиться,с
стряхивать,
стряхнуть,
таить,
терять,
трансформироваться,в
убивать,
убить,
удовлетворяться,с помощью
усиливать,
усилить,
уступать,
уступить,
утратить,
утрачивать,
характеризоваться,
читать,без
шутить,над
