Verb,Prep
быть,
беспокоить,
блестеть,
бодрить,
есть,
веселить,
внушать,
возбуждать,
возникать,
воспитывать,
вторгать,
вызывать,
выражать,
глодать,
гнездить,
говорить,
господствовать,
греть,
грызть,
двигать,
зарождать,
заставлять,
затрагивать,
захватывать,
захлестывать,
зреть,
изменять,
иметь,
испарять,
испытывать,
исчезать,
компенсировать,
крепнуть,
крыть,
накатывать,
наполнять,
оставлять,
позволять,
покидать,
обманывать,
обострять,
владеть,
ослабеть,
оставать,
отсутствовать,
охватывать,
перевешивать,
переполнять,
гаснуть,
подсказывать,
посещать,
появлять,
преследовать,
примешивать,
притуплять,
пробуждать,
пропадать,
сыпать,
проявлять,
развивать,
разделять,
расти,
совершать,
сохранять,
таить,
терять,
требовать,
увеличивать,
угасать,
угнетать,
усиливать,
утрачивать,
апеллировать,к
бежать,от
безумствовать,из-за
бороть,с
будить,
взывать,к
ненавидеть,из-за
впадать,в
вселять,
вспоминать,с
выдавать,
выливать,
вытравить,
вытравлять,
делать,с
забывать,о
забывать,
зависеть,от
заглушать,
глушить,
жечь,
захихикать,от
избавлять,от
изливать,
ласкать,
лишать,
мучать,
мучить,
наделять,
надругать,над
напрягать,от
наслаждать,
насмеять,над
обнаруживать,
пить,из-за
подчинять,из
подчинять,из-за
обладать,
обращать,
освобождать,от
оскорблять,
основывать,на
отвечать,на
отдавать,
отличать,
относить,с
относить,к
отринуть,
перебарывать,
перетерпеть,
питать,
бороть,
подавать,
подавлять,
поддавать,
делить,
подчинять,через
полагать,на
помнить,
понимать,
давать,
поступать,из
предавать,
преисполнять,
преувеличивать,
приводить,в
прививать,
приходить,в
примешивать,к
присоединять,к
продвигать,ради
продуцировать,
проникать,
прятать,
пугать,
разгорать,от
рассиропливать,от
расстреливать,из
рассчитывать,на
растоптать,
руководствовать,
связывать,с
делать,из
говорить,с
скрывать,
смеять,над
справлять,с
стряхивать,
трансформировать,в
убивать,
удовлетворять,с помощью
уступать,
характеризовать,
читать,без
шутить,над
