perfForm,infForm
заабонировать,абонировать
проабстрагировать,абстрагировать
проавалировать,авалировать
проавансировать,авансировать
заавтоматизировать,автоматизировать
проавторизовать,авторизовать
сагитировать,агитировать
сагломерировать,агломерировать
проагонизировать,агонизировать
сагрегировать,агрегировать
садаптировать,адаптировать
проадминистрировать,администрировать
проадресовать,адресовать
айкнуть,айкать
сакклиматизировать,акклиматизировать
саккомпанировать,аккомпанировать
проаккредитовать,аккредитовать
саккумулировать,аккумулировать
сактивизировать,активизировать
сактуализировать,актуализировать
заакцептировать,акцептировать
проакционировать,акционировать
заалгоритмизировать,алгоритмизировать
заалеть,алеть
проамальгамировать,амальгамировать
проамнистировать,амнистировать
самортизировать,амортизировать
проампутировать,ампутировать
проанализировать,анализировать
проанатомировать,анатомировать
заангажировать,ангажировать
проанкетировать,анкетировать
проаннотировать,аннотировать
проаннулировать,аннулировать
проапгрейдить,апгрейдить
проаплодировать,аплодировать
саппроксимировать,аппроксимировать
проапробировать,апробировать
проаргументировать,аргументировать
заарендовать,арендовать
арестовать,арестовывать
заартачить,артачить
заархивировать,архивировать
проассигновать,ассигновать
проассимилировать,ассимилировать
проассистировать,ассистировать
проассоциировать,ассоциировать
заасфальтировать,асфальтировать
проатаковать,атаковать
проаттестовать,аттестовать
аттестовать,аттестовывать
ахнуть,ахать
побагроветь,багроветь
побалагурить,балагурить
побалакать,балакать
взбаламутить,баламутить
сбалансировать,балансировать
избаловать,баловать
забальзамировать,бальзамировать
набальзамировать,бальзамировать
забанить,банить
обанкротить,банкротить
забарабанить,барабанить
забарахлить,барахлить
забарахтать,барахтать
забаррикадировать,баррикадировать
забастовать,бастовать
бахнуть,бахать
забашлять,башлять
убаюкать,баюкать
побегать,бегать
обеднеть,беднеть
набедокурить,бедокурить
пробедствовать,бедствовать
пробежать,бежать
пробездельничать,бездельничать
обезуметь,безуметь
побелеть,белеть
побелить,белить
разбередить,бередить
забеременеть,беременеть
сберечь,беречь
уберечь,беречь
поберечь,беречь
побеседовать,беседовать
взбесить,бесить
обеспокоить,беспокоить
побеспокоить,беспокоить
обесчестить,бесчестить
побесчинствовать,бесчинствовать
забетонировать,бетонировать
забздеть,бздеть
забинтовать,бинтовать
побить,бить
разбить,бить
поблагодарить,благодарить
благословить,благословлять
благоустроить,благоустраивать
побледнеть,бледнеть
поблекнуть,блекнуть
блеснуть,блестеть
заблестеть,блестеть
приблизить,близить
заблокировать,блокировать
соблюсти,блюсти
разбогатеть,богатеть
обоготворить,боготворить
боднуть,бодать
забодать,бодать
ободрить,бодрить
подбодрить,бодрить
забойкотировать,бойкотировать
заболеть,болеть
поболеть,болеть
отбомбардировать,бомбардировать
разбомбить,бомбить
оборзеть,борзеть
пробормотать,бормотать
избороздить,бороздить
переборонить,боронить
побороть,бороть
побоять,боять
забраковать,браковать
выбранить,бранить
взять,брать
побрезгать,брезгать
побрезговать,брезговать
забрезжить,брезжить
добрести,брести
забрикетировать,брикетировать
побрить,брить
забронировать,бронировать
бросить,бросать
забросать,бросать
сброшюровать,брошюровать
брызнуть,брызгать
забрюзжать,брюзжать
обрюхатить,брюхатить
брякнуть,брякать
забряцать,бряцать
разбудить,будить
взбудоражить,будоражить
набузить,бузить
отбуксировать,буксировать
забуксовать,буксовать
бултыхнуть,бултыхать
пробултыхать,бултыхать
забункеровать,бункеровать
взбунтовать,бунтовать
пробурить,бурить
забурлить,бурлить
буркнуть,бурчать
