абонировать  заабонировать
абстрагировать  проабстрагировать
абстрагироваться  проабстрагироваться
авалировать  проавалировать
авансировать  проавансировать
автоматизировать  заавтоматизировать
авторизовать  проавторизовать
авторизоваться  проавторизоваться
агитировать  сагитировать
агитироваться  сагитироваться
агломерировать  сагломерировать
агонизировать  проагонизировать
агрегировать  сагрегировать
агрегироваться  сагрегироваться
адаптировать  садаптировать
адаптироваться  садаптироваться
администрировать  проадминистрировать
адресовать  проадресовать
адресоваться  проадресоваться
айкать  айкнуть
акклиматизироваться  сакклиматизироваться
аккомпанировать  саккомпанировать
аккредитовать  проаккредитовать
аккумулировать  саккумулировать
аккумулироваться  саккумулироваться
активизировать  сактивизировать
активизироваться  сактивизироваться
актуализировать  сактуализировать
акцептировать  заакцептировать
акционировать  проакционировать
алгоритмизировать  заалгоритмизировать
алеть  заалеть
амальгамировать  проамальгамировать
амнистировать  проамнистировать
амортизировать  самортизировать
амортизироваться  самортизироваться
ампутировать  проампутировать
анализировать  проанализировать
анализироваться  проанализироваться
анатомировать  проанатомировать
ангажировать  заангажировать
ангажироваться  заангажироваться
анкетировать  проанкетировать
аннотировать  проаннотировать
аннулировать  проаннулировать
апгрейдить  проапгрейдить
аплодировать  проаплодировать
аппроксимировать  саппроксимировать
апробировать  проапробировать
аргументировать  проаргументировать
арендовать  заарендовать
арестовывать  арестовать
артачиться  заартачиться
архивировать  заархивировать
архивироваться  заархивироваться
ассигновать  проассигновать
ассимилировать  проассимилировать
ассистировать  проассистировать
ассоциировать  проассоциировать
асфальтировать  заасфальтировать
асфальтироваться  заасфальтироваться
атаковать  проатаковать
аттестоваться  проаттестоваться
аттестовывать  аттестовать
ахать  ахнуть
багроветь  побагроветь
балагурить  побалагурить
балакать  побалакать
баламутить  взбаламутить
баламутиться  взбаламутиться
балансировать  сбалансировать
баловать  избаловать
баловаться  избаловаться
бальзамировать  забальзамировать
бальзамировать  набальзамировать
бальзамироваться  забальзамироваться
банить  забанить
банкротить  обанкротить
банкротиться  обанкротиться
барабанить  забарабанить
барахлить  забарахлить
барахтаться  забарахтаться
баррикадировать  забаррикадировать
баррикадироваться  забаррикадироваться
бастовать  забастовать
бахать  бахнуть
башлять  забашлять
баюкать  убаюкать
баюкаться  убаюкаться
бегать  побегать
беднеть  обеднеть
бедокурить  набедокурить
бедствовать  пробедствовать
бежать  пробежать
бездельничать  пробездельничать
безуметь  обезуметь
белеть  побелеть
белить  побелить
белиться  побелиться
бередить  разбередить
беременеть  забеременеть
беречь  сберечь
беречь  уберечь
беречься  поберечься
беседовать  побеседовать
бесить  взбесить
беситься  взбеситься
беспокоить  обеспокоить
беспокоить  побеспокоить
беспокоиться  обеспокоиться
беспокоиться  побеспокоиться
бесчестить  обесчестить
бесчинствовать  побесчинствовать
бетонировать  забетонировать
бетонироваться  забетонироваться
бздеть  забздеть
бинтовать  забинтовать
бинтоваться  забинтоваться
бить1  побить1
бить2  разбить2
