PerfectForm,InitialForm
заабонировать,абонировать
проабстрагировать,абстрагировать
проабстрагироваться,абстрагироваться
проавалировать,авалировать
проавансировать,авансировать
заавтоматизировать,автоматизировать
проавторизовать,авторизовать
проавторизоваться,авторизоваться
сагитировать,агитировать
сагитироваться,агитироваться
сагломерировать,агломерировать
проагонизировать,агонизировать
сагрегировать,агрегировать
сагрегироваться,агрегироваться
садаптировать,адаптировать
садаптироваться,адаптироваться
проадминистрировать,администрировать
проадресовать,адресовать
проадресоваться,адресоваться
айкнуть,айкать
сакклиматизироваться,акклиматизироваться
саккомпанировать,аккомпанировать
проаккредитовать,аккредитовать
саккумулировать,аккумулировать
саккумулироваться,аккумулироваться
сактивизировать,активизировать
сактивизироваться,активизироваться
сактуализировать,актуализировать
заакцептировать,акцептировать
проакционировать,акционировать
заалгоритмизировать,алгоритмизировать
заалеть,алеть
проамальгамировать,амальгамировать
проамнистировать,амнистировать
самортизировать,амортизировать
самортизироваться,амортизироваться
проампутировать,ампутировать
проанализировать,анализировать
проанализироваться,анализироваться
проанатомировать,анатомировать
заангажировать,ангажировать
заангажироваться,ангажироваться
проанкетировать,анкетировать
проаннотировать,аннотировать
проаннулировать,аннулировать
проапгрейдить,апгрейдить
проаплодировать,аплодировать
саппроксимировать,аппроксимировать
проапробировать,апробировать
проаргументировать,аргументировать
заарендовать,арендовать
арестовать,арестовывать
заартачиться,артачиться
заархивировать,архивировать
заархивироваться,архивироваться
проассигновать,ассигновать
проассимилировать,ассимилировать
проассистировать,ассистировать
проассоциировать,ассоциировать
заасфальтировать,асфальтировать
заасфальтироваться,асфальтироваться
проатаковать,атаковать
проаттестоваться,аттестоваться
аттестовать,аттестовывать
ахнуть,ахать
побагроветь,багроветь
побалагурить,балагурить
побалакать,балакать
взбаламутить,баламутить
взбаламутиться,баламутиться
сбалансировать,балансировать
избаловать,баловать
избаловаться,баловаться
забальзамировать,бальзамировать
набальзамировать,бальзамировать
забальзамироваться,бальзамироваться
забанить,банить
обанкротить,банкротить
обанкротиться,банкротиться
забарабанить,барабанить
забарахлить,барахлить
забарахтаться,барахтаться
забаррикадировать,баррикадировать
забаррикадироваться,баррикадироваться
забастовать,бастовать
бахнуть,бахать
забашлять,башлять
убаюкать,баюкать
убаюкаться,баюкаться
побегать,бегать
обеднеть,беднеть
набедокурить,бедокурить
пробедствовать,бедствовать
пробежать,бежать
пробездельничать,бездельничать
обезуметь,безуметь
побелеть,белеть
побелить,белить
побелиться,белиться
разбередить,бередить
забеременеть,беременеть
сберечь,беречь
уберечь,беречь
поберечься,беречься
побеседовать,беседовать
взбесить,бесить
взбеситься,беситься
обеспокоить,беспокоить
побеспокоить,беспокоить
обеспокоиться,беспокоиться
побеспокоиться,беспокоиться
обесчестить,бесчестить
побесчинствовать,бесчинствовать
забетонировать,бетонировать
забетонироваться,бетонироваться
забздеть,бздеть
забинтовать,бинтовать
забинтоваться,бинтоваться
побить,бить
разбить,бить
поблагодарить,благодарить
благословить,благословлять
благоустроить,благоустраивать
благоустроиться,благоустраиваться
побледнеть,бледнеть
поблекнуть,блекнуть
блеснуть,блестеть
заблестеть,блестеть
приблизиться,близиться
заблокировать,блокировать
соблюсти,блюсти
разбогатеть,богатеть
обоготворить,боготворить
боднуть,бодать
забодать,бодать
ободрить,бодрить
подбодриться,бодриться
забойкотировать,бойкотировать
заболеть,болеть
поболеть,болеть
отбомбардировать,бомбардировать
